date,country,position,streams,track_id,artists,artist_genres,duration,explicit,name,streams_agg
10-10-2019,,17,15831557,6Gg1gjgKi2AK4e0qzsR7sd,"['Juice WRLD', 'YoungBoy Never Broke Again']","['melodic rap', 'baton rouge rap', 'trap', 'chicago rap']",189322,True,Bandit (with YoungBoy Never Broke Again),836040635
11-11-2021,Sweden,82,210772,6GgK6y4XRp2D4hNO5oj7Bt,"['LOAM', 'Ringnes-Ronny']","['russelater', 'fotbollslatar', 'swedish pop']",186692,True,MEDVETSLÖS - Ringnes-Ronny Remix,2772948
17-12-2020,Türkiye,85,306600,6GgTMU0PiRMUNr4J5O4Oen,['Ceg'],"['turkish hip hop', 'turkish trap', 'new school turkce rap', 'turkish trap pop']",217106,True,En Dipten,306600
03-06-2021,Belgium,142,63945,6GhrqbPV4b4HTfqbEEebXv,"['Ilsen & Verhulst', 'Jan Smit', 'Gert Verhulst', 'James Cooke']","['vlaamse kinderliedje', 'levenslied', 'dutch rock', 'dutch pop']",172866,False,Mooi Zo,63945
06-10-2022,Chile,106,358293,6GiPJ61pvbekGilrzztD7n,"['ITHAN NY', 'Galee Galee', 'Piero 47']","['trap chileno', 'urbano chileno', 'rap chileno', 'reggaeton flow', 'drill chileno', 'trap latino']",195555,True,X5,1781184
21-05-2020,Romania,1,115237,6GiTUiS0A8ORsZesaOSwj2,"['andrei', 'Killa Fonic', 'Nane', 'bbno$', 'Azteca']","['romanian rap', 'vapor trap', 'romanian trap', 'canadian hip hop', 'dark trap']",178003,True,Go Gettas,2196503
26-08-2021,Egypt,69,24605,6GjW5aqVmn2mIHdMiWn8sR,"['El Sawareekh', 'Hassan Abouelrouss']",['mahraganat'],175311,False,Kol El Nas,807482
16-07-2020,Dominican Republic,157,12467,6GlNseuKrVgGyieWH5jUIn,"['J.I the Prince of N.Y', 'Myke Towers']","['nyc rap', 'trap latino', 'reggaeton']",191320,True,Spanglish (with Myke Towers),12467
27-02-2020,Slovakia,64,15732,6GlcQlG75JcshmzjJFSwRX,"['Taomi', 'Marko Damian']","['slovak trap', 'czsk hip hop']",206086,True,Citybaby!,26399
24-12-2020,Slovakia,197,14017,6GmgR0XfTXi47dzDchXH5i,"['Peter Nagy', 'Jano Bocko']",['slovak pop'],229026,False,"Vianoce, Vianoce",132695
28-04-2022,"Taiwan, Province of China",168,50071,6Go8Wuws8feT0R2VlaI3am,['The Chainsmokers'],"['pop', 'dance pop', 'electropop', 'edm', 'tropical house', 'pop dance']",171359,False,Riptide,64546
