song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
0k4d5YPDr1r7FX77VdqWez	You Right	84	True	8	184	186173	['5cj0lLjcoR7YOSnhnX0Po5', '1Xyo4u8uXC1ZmMpatF05PJ']	['Doja Cat', 'The Weeknd']	2	Collaboration	2021-06-25	8.0	1.0	4.0	0.0164	0.828	0.621	0.00233	0.0845	-6.414	0.0565	0.436	128.986	222163
7a53HqqArd4b9NF4XAmlbI	Kings & Queens	83	False	3	184	162398	['4npEfmQ6YuiwW1GpUmaq3F']	['Ava Max']	1	Solo	2020-09-18	1.0	0.0	4.0	0.00786	0.637	0.69	0.0	0.124	-4.057	0.0405	0.457	129.857	408336
2BNStVCi8BBatj7oq0iGXL	Tututu	35	True	1	184	162206	['28oxY7ZfDt1BJFf8FVfpEh']	['Robin Zoot']	1	Solo	2021-06-03	8.0	0.0	4.0	0.101	0.78	0.764	0.0	0.228	-6.689	0.196	0.608	145.091	1595
73M0rMVx5CWE8M4uATSsto	seaside_demo	0	False	1	0	132000	['7oPxPZSk7y5q0fhzpmX5Gi']	['SEB']	1	Solo	2021-05-17	0.0	1.0	4.0	0.355	0.706	0.824	0.000133	0.111	-7.959	0.0694	0.86	94.98	3122
5QYnNhTKsN3kE7OaqILA1U	First Times	71	False	3	184	185853	['6eUKZXaKkcviH0Ku9w2n3V']	['Ed Sheeran']	1	Solo	2021-10-29	8.0	1.0	4.0	0.84	0.587	0.267	0.0	0.121	-9.206	0.0349	0.352	98.845	20353
4KDNRh9Oor80z3XIxdWlui	Bubbly (with Drake & Travis Scott)	72	True	12	184	165066	['50co4Is1HCEo8bhOyUWKpn', '3TVXtAsR1Inumwj472S9r4', '0Y5tJX1MQlPlqiwlOH1tJY']	['Young Thug', 'Drake', 'Travis Scott']	3	Collaboration	2021-10-15	11.0	0.0	4.0	0.0536	0.91	0.585	0.0	0.127	-7.572	0.257	0.599	129.011	23639
4BvY0AvCqoEEOqS0q5PGcN	Zločinci A Umelci	30	False	9	184	173643	['48dz8C2SNCkNCy7DkU9tZE', '4eWCc0DOwhdz3GHxlSnYE1', '1E1taJPk3Mh3tRs9uLAu3n', '062wPuKbdxVkXURZqv0Pgj']	['Momo', 'Dano Kapitán', 'Paulie Garand', 'DJ Wich']	4	Collaboration	2021-10-05	6.0	1.0	3.0	0.154	0.598	0.771	0.0	0.275	-5.849	0.432	0.688	77.471	64330
5zxcBINbJUGeHVxUPlpopA	Prax	36	True	11	184	188250	['3inzIBtXMSkZTGEfC0a1kT']	['Kontrafakt']	1	Solo	2021-12-17	8.0	1.0	4.0	0.256	0.617	0.696	0.0	0.535	-5.12	0.294	0.628	156.082	156938
6Hfu9sc7jvv6coyy2LlzBF	Hurricane	75	False	5	184	243187	['5K4W6rqBFWDnAN6FQUkS6x']	['Kanye West']	1	Solo	2021-08-29	0.0	1.0	4.0	0.0466	0.587	0.561	0.0	0.109	-6.569	0.146	0.351	80.009	37375
2fKyAD9HrKOn99FjqbbTaf	Prvá	34	False	6	184	307013	['38vf1Wys8uNYdbZQwtGpmr']	['Miro Žbirka']	1	Solo	1988-01-01	0.0	1.0	4.0	0.5	0.582	0.488	3.91e-05	0.0823	-12.014	0.0248	0.593	147.974	12026
